"vendorNumber","brand","PurchasePrice","ActualPrice","TotalSalesQuantity","TotalSalesDollars","TotalSalesPrice","TotalExciseTax","TotalQuantityPurchase","TotalPurchaseDollars","freightCost","GrossProfit","profitmargin","stockturnover","salestoPurchaseRatio"
1128,1220,21.89,29.99,18408,589481.92,293510.15,14496.36,18645,408139.05,68601.68,181342.87,30.7630927849322,0.987288817377313,1.44431639168073
3960,2418,16.53,22.99,24284,570271.16,263621.23,19122.7,24558,405943.74,257032.07,164327.42,28.815663762481,0.988842739636778,1.40480343409163
1392,8504,5.84,8.99,68667,686725.33,148661.02,15427.26,69263,404495.92,79528.99,282229.41,41.0978593144365,0.991395117162121,1.69773116623772
660,3684,7.68,9.99,51954,527560.96,156288.16,95452.87,52351,402055.68,17932.33,125505.28,23.7897209073241,0.992416572749327,1.31215895271023
3252,14622,8.66,12.99,45608,558344.69,124562.16,5114.6,46387,401711.42,61966.91,156633.27,28.0531493905673,0.983206501821631,1.38991490458499
8004,3246,6.71,8.79,59245,520763.55,136913.04,108849.58,59841,401533.11,50293.62,119230.44,22.8953120854945,0.990040273391153,1.29693800344385
17035,8339,30.21,42.99,12463,544906.37,335249.38,9818.56,13250,400282.5,123780.22,144623.87,26.541049611881,0.940603773584906,1.36130450369427
2555,5312,14.7,21.99,26178,571763.22,228705.95,20614.87,27186,399634.2,5861.03,172129.02,30.1049479887846,0.962922092253366,1.43071644018455
3960,1869,40.14,54.99,9219,549291.81,302801.33,7262.52,9892,397064.88,257032.07,152226.93,27.7133077953593,0.931965224423777,1.38338049439175
8112,8622,87.09,145.99,4127,589317.73,312139.21,459.15,4544,395736.96,48347.26,193580.77,32.848285423213,0.908230633802817,1.48916525259607
3960,1868,49.62,66.99,7644,550740.56,334191.73,6022.61,7821,388078.02,257032.07,162662.54,29.5352388790831,0.977368622938243,1.419149066984
480,508,9.77,12.99,38335,522309.15,123060.88,40251.75,38957,380609.89,89286.27,141699.26,27.1293849629094,0.984033678157969,1.37229526537001
3924,1180,13.07,16.99,28291,543425.09,233334.65,51982.14,29070,379944.9,14069.87,163480.19,30.0832981414237,0.973202614379085,1.4302734159611
8112,4673,46.66,69.99,8118,549271.82,225142.98,14917.3,8132,379439.12,48347.26,169832.7,30.9196091654584,0.998278406296114,1.447588798962
1128,2143,10.07,12.99,37763,518089.37,180374.16,69382.94,37653,379165.71,68601.68,138923.66,26.8146130849973,1.00292141396436,1.36639299476738
4425,11214,50.33,74.99,7612,534970.92,222174.11,849.17,7505,377726.65,144929.24,157244.27,29.3930499998018,1.01425716189207,1.41629117246559
17035,2646,43.3,58.99,8233,462119.67,267131.53,15131.22,8702,376796.6,123780.22,85323.07,18.4634144657811,0.946104343829005,1.22644331185579
7245,8691,11.9,14.99,31383,494108.17,216863.36,24709.81,31495,374790.5,38994.78,119317.67,24.1480868450323,0.996443879980949,1.31835830950891
3960,4330,20.79,25.99,17633,482985.67,267976.33,32401.76,17755,369126.45,257032.07,113859.22,23.5740368860219,0.993128696141932,1.30845586925564
1485,4225,18.37,24.99,20179,522535.21,230329.08,37080.62,20089,369034.93,8497.59,153500.28,29.3760644378395,1.00448006371646,1.41595054430213
